aanwezig                ,present
afstuderen              ,graduate
al                      ,already
amper                   ,hardly
audiobestand (het)      ,audio file
beeldend                ,visual
beluisteren             ,listen to
bestand (het)           ,file
bui (de)                ,shower
buitenwereld (de)       ,outside world
collectie (de)          ,collection
conservatorium (het)    ,conservatory
dak (het)               ,roof
dame (de)               ,lady
deelnemen (aan)         ,participate (in)
evenmin                 ,neither
fan (de)                ,fan
fluiten                 ,whistle
geluidskunstenaar (de)  ,sound artist
geluidsportret (het)    ,sound portrait
geluidswandeling (de)   ,sound walk
gevoelig                ,sensitive
gloednieuw              ,brand new
hoofdrol (de)           ,leading role
huiselijk               ,domestic
insluipen               ,sneak in
jarenlang               ,for years
koffiezetapparaat (het) ,coffee maker
konijn (het)            ,rabbit
kraak (de)              ,crack
kraken                  ,to crack
kunstacademie (de)      ,art academy
kunstenaar (de)         ,artist
kunstwerk (het)         ,artwork
locatie (de)            ,location
materiaal (het)         ,material
meerdere                ,several
mis                     ,wrong
misstappen              ,wrongdoings
musicus (de)            ,musician
ontdekking (de)         ,discovery
onverwacht(s)           ,unexpected
opmerken                ,notice
opname (de)             ,recording
oprichten               ,to establish
oproep (de)             ,call
opsturen                ,to send
overkoepelend           ,overarching
overslaan               ,skip
pruttelen               ,to bubble
raken                   ,to touch
regenbui (de)           ,rain shower
relativeren             ,to put into perspective
relativering (de)       ,perspective
richten (zich (op))     ,to focus (on)
rot                     ,rotten
schilder (de)           ,painter
schrikken               ,to scare
simpel                  ,simple
snurken                 ,to snore
specifiek               ,specific
spinnen                 ,to spin
stiekem                 ,secretly
stil                    ,quiet
tentoonstelling (de)    ,exhibition
tikken                  ,to tap
totaal                  ,total
traptrede (de)          ,step
uitbreiden              ,to expand
vertrouwd               ,familiar
verzamelen              ,to collect
verzameling (de)        ,collection
wandeling (de)          ,walk
wellicht                ,perhaps
workshop (de)           ,workshop
zat                     ,drunk
zoem (de)               ,buzz
zoemen                  ,to buzz