Dutch                   ,English
aangeven                ,to indicate
aanhaakgroep (de)       ,group of people who join in
aanhaken                ,to join in
aankondigen             ,to announce
aanschuiven             ,to join in
absoluut                ,absolutely
activiteit (de)         ,activity
aldus                   ,thus
antropologe (de)        ,anthropologist
appje (het)             ,text message
baseren op              ,to base on
bestaan                 ,to exist
bieden                  ,to offer
binnenshuis             ,indoors
camping (de)            ,campsite
degene / diegene        ,the one
doodstil                ,dead silent
etentje (het)           ,dinner party
expat (de)              ,expat
feit (het)              ,fact
gek                     ,crazy
handvol                 ,handful
hecht                   ,close
inkopen                 ,to buy groceries
isoleren                ,to isolate
kring (de)              ,circle
langsgaan (bij)         ,to visit
lastig                  ,difficult
medestander (de)        ,supporter
meespelen               ,to join in
mengen (met / van)      ,to mix
midden (het)            ,middle
midden in               ,in the middle of
misverstand (het)       ,misunderstanding
mixen                   ,to mix
motto (het)             ,motto
omgaan met              ,to deal with
onaangekondigd          ,unannounced
onbeleefd               ,impolite
ondenkbaar              ,unthinkable
onderaan                ,at the bottom
ongeschreven            ,unwritten
ontmoeten               ,to meet
oppervlakkig            ,superficial
opvallen                ,to stand out
ordenen (op)            ,to organize
picknicken              ,to have a picnic
plannen                 ,to plan
portie (de)             ,portion
privédomein (het)       ,private domain
publiek                 ,public
ranglijst (de)          ,ranking
ruzie (de) (met / over) ,quarrel (with / about)
samenhangen met         ,to be related to
schaars                 ,scarce
sfeer (de)              ,atmosphere
spontaan                ,spontaneous
streng                  ,strict
strikt                  ,strict
terugkeren (naar)       ,to return to
terugvallen op          ,to fall back on
tevoren (van)           ,beforehand
toekomen aan            ,to get around to
toevoegen (aan)         ,to add to
uiteraard               ,of course
vandaar                 ,hence
voorkomen               ,to prevent
voortdurend             ,continuous
voorzien (van)          ,to provide with
vriendschap (de)        ,friendship
weleens                 ,sometimes
wereldwijd              ,worldwide
whatsappgroep (de)      ,WhatsApp group
wijzen (naar / op)      ,to point to
zaak (de)               ,matter